Model,Accuracy,F1 Score,Execution Time
LGBM_CICIDS2018_CICIDS2019_UNSW-NB15_w_CICIDS2018,0.15583333333333332,0.03833712149972201,0.06279134750366211
RF_CICIDS2017_CICIDS2018_CICIDS2019_UNSW-NB15_w_CICIDS2018,0.13833333333333334,0.05142731664470795,0.047028303146362305
k-NN_CICIDS2017_CICIDS2018_CICIDS2019_UNSW-NB15_w_CICIDS2018,0.050833333333333335,0.01547643158105818,0.045110464096069336
LGBM_CICIDS2017_CICIDS2018_CICIDS2019_UNSW-NB15_w_CICIDS2018,0.18916666666666668,0.04980594587232515,0.05850481986999512
RF_CICIDS2017_w_CICDDoS2019,0.020625,0.002541736468141644,0.047391653060913086
k-NN_CICIDS2017_w_CICDDoS2019,0.00375,0.0006198347107438017,0.07192778587341309
LGBM_CICIDS2017_w_CICDDoS2019,0.0196875,0.0028061110863658633,0.0385584831237793
RF_CICIDS2018_w_CICDDoS2019,0.05875,0.005595238095238096,0.046471357345581055
k-NN_CICIDS2018_w_CICDDoS2019,0.044375,0.004823041912913524,0.06675839424133301
LGBM_CICIDS2018_w_CICDDoS2019,0.0553125,0.005386488131466829,0.034337759017944336
RF_CICIDS2019_w_CICDDoS2019,0.9746875,0.9750411300773512,0.04639172554016113
k-NN_CICIDS2019_w_CICDDoS2019,0.8496875,0.8450594685363442,0.0708920955657959
LGBM_CICIDS2019_w_CICDDoS2019,0.9753125,0.9752966369663563,0.06716775894165039
RF_UNSW-NB15_w_CICDDoS2019,0.03375,0.0032498307379823965,0.0370635986328125
k-NN_UNSW-NB15_w_CICDDoS2019,0.0265625,0.0027372556596786143,0.06960010528564453
LGBM_UNSW-NB15_w_CICDDoS2019,0.014375,0.001386544489992766,0.036263465881347656
RF_CICIDS2017_CICIDS2018_w_CICDDoS2019,0.0571875,0.006304040786799408,0.04678153991699219
k-NN_CICIDS2017_CICIDS2018_w_CICDDoS2019,0.049375,0.005358838692172026,0.0654454231262207
LGBM_CICIDS2017_CICIDS2018_w_CICDDoS2019,0.046875,0.004202151501568803,0.035912513732910156
RF_CICIDS2017_CICIDS2019_w_CICDDoS2019,0.0790625,0.03799029517738219,0.046515464782714844
k-NN_CICIDS2017_CICIDS2019_w_CICDDoS2019,0.0575,0.036758461105296306,0.0694267749786377
LGBM_CICIDS2017_CICIDS2019_w_CICDDoS2019,0.0340625,0.02657430798318538,0.07315993309020996
RF_CICIDS2017_UNSW-NB15_w_CICDDoS2019,0.0615625,0.004885912698412698,0.03392672538757324
k-NN_CICIDS2017_UNSW-NB15_w_CICDDoS2019,0.0334375,0.0033428620522673665,0.15893030166625977
LGBM_CICIDS2017_UNSW-NB15_w_CICDDoS2019,0.0503125,0.005122820414916635,0.04701733589172363
RF_CICIDS2018_CICIDS2019_w_CICDDoS2019,0.040625,0.007634962068703998,0.046836137771606445
k-NN_CICIDS2018_CICIDS2019_w_CICDDoS2019,0.0946875,0.05709594467083502,0.07497191429138184
LGBM_CICIDS2018_CICIDS2019_w_CICDDoS2019,0.0815625,0.03069355897195784,0.04666852951049805
RF_CICIDS2018_UNSW-NB15_w_CICDDoS2019,0.056875,0.005144949045216187,0.03354454040527344
k-NN_CICIDS2018_UNSW-NB15_w_CICDDoS2019,0.0571875,0.005189134010094709,0.15476107597351074
LGBM_CICIDS2018_UNSW-NB15_w_CICDDoS2019,0.04875,0.0037887067395264117,0.024647951126098633
RF_CICIDS2017_CICIDS2018_CICIDS2019_w_CICDDoS2019,0.05875,0.020039776481286447,0.04420900344848633
k-NN_CICIDS2017_CICIDS2018_CICIDS2019_w_CICDDoS2019,0.0925,0.041198020951266734,0.07593154907226562
LGBM_CICIDS2017_CICIDS2018_CICIDS2019_w_CICDDoS2019,0.0796875,0.05630313598521325,0.08877825736999512
RF_CICIDS2017_CICIDS2018_UNSW-NB15_w_CICDDoS2019,0.0421875,0.003393665158371041,0.04659318923950195
k-NN_CICIDS2017_CICIDS2018_UNSW-NB15_w_CICDDoS2019,0.051875,0.004583609454384802,0.07015776634216309
LGBM_CICIDS2017_CICIDS2018_UNSW-NB15_w_CICDDoS2019,0.0503125,0.004111758095821841,0.047225236892700195
RF_CICIDS2017_CICIDS2019_UNSW-NB15_w_CICDDoS2019,0.055625,0.01212912852487153,0.04691052436828613
k-NN_CICIDS2017_CICIDS2019_UNSW-NB15_w_CICDDoS2019,0.0578125,0.03718380483166503,0.07315993309020996
LGBM_CICIDS2017_CICIDS2019_UNSW-NB15_w_CICDDoS2019,0.0284375,0.02018229750188513,0.10738396644592285
RF_CICIDS2018_CICIDS2019_UNSW-NB15_w_CICDDoS2019,0.0396875,0.0077193928885191535,0.046451568603515625
k-NN_CICIDS2018_CICIDS2019_UNSW-NB15_w_CICDDoS2019,0.0878125,0.024709123009052408,0.07019519805908203
LGBM_CICIDS2018_CICIDS2019_UNSW-NB15_w_CICDDoS2019,0.02625,0.006105016456035014,0.07213592529296875
RF_CICIDS2017_CICIDS2018_CICIDS2019_UNSW-NB15_w_CICDDoS2019,0.08125,0.03837680224665289,0.056342124938964844
k-NN_CICIDS2017_CICIDS2018_CICIDS2019_UNSW-NB15_w_CICDDoS2019,0.0990625,0.032575462969386515,0.07403826713562012
LGBM_CICIDS2017_CICIDS2018_CICIDS2019_UNSW-NB15_w_CICDDoS2019,0.0421875,0.026405308139135105,0.06806182861328125
RF_CICIDS2017_w_UNSW-NB15,0.12928571428571428,0.02948478518762536,0.03580355644226074
k-NN_CICIDS2017_w_UNSW-NB15,0.10071428571428571,0.022631570537203664,0.03519940376281738
